timesteps,reward,best_reward
1000 , 238.2 , 524.5
2000 , 347.7 , 529.5
3000 , 449.55 , 694.0
4000 , 471.1 , 1207.0
5000 , 632.55 , 1211.0
6000 , 521.5 , 1202.0
7000 , 466.3 , 753.0
8000 , 520.25 , 1233.0
9000 , 506.4 , 1199.0
10000 , 556.7 , 767.0
11000 , 436.95 , 916.0
12000 , 558.05 , 1303.0
13000 , 500.05 , 698.0
14000 , 440.7 , 702.0
15000 , 455.75 , 912.0
16000 , 606.7 , 1229.0
17000 , 523.2 , 941.0
18000 , 528.0 , 753.0
19000 , 524.0 , 938.0
20000 , 462.7 , 986.0
21000 , 563.15 , 943.0
22000 , 509.8 , 716.0
23000 , 593.0 , 946.0
24000 , 558.75 , 996.0
25000 , 483.45 , 923.0
26000 , 512.5 , 1008.0
27000 , 527.95 , 744.0
28000 , 578.7 , 1279.0
29000 , 588.5 , 1210.0
30000 , 477.65 , 968.0
31000 , 497.25 , 1279.0
32000 , 617.5 , 1240.0
33000 , 529.15 , 765.0
34000 , 555.65 , 1247.0
35000 , 465.7 , 702.0
36000 , 464.0 , 694.0
37000 , 543.8 , 1068.0
38000 , 468.75 , 782.0
39000 , 436.5 , 696.0
40000 , 551.9 , 943.0
41000 , 458.45 , 997.0
42000 , 550.2 , 1012.0
43000 , 504.95 , 947.0
44000 , 551.85 , 976.0
45000 , 560.85 , 1279.0
46000 , 575.75 , 727.0
47000 , 581.45 , 1485.0
48000 , 463.75 , 1289.0
49000 , 632.85 , 1202.0
50000 , 557.2 , 1023.0
51000 , 485.0 , 941.0
52000 , 500.8 , 730.0
53000 , 516.05 , 1209.0
54000 , 547.7 , 1011.0
55000 , 464.1 , 755.0
56000 , 504.55 , 711.0
57000 , 530.55 , 776.0
58000 , 593.2 , 1507.0
59000 , 464.95 , 695.0
60000 , 564.15 , 1279.0
61000 , 530.05 , 922.0
62000 , 468.8 , 762.0
63000 , 587.7 , 1001.0
64000 , 555.35 , 971.0
65000 , 433.95 , 831.0
66000 , 520.15 , 1104.0
67000 , 546.0 , 1231.0
68000 , 572.75 , 1217.0
69000 , 466.2 , 974.0
70000 , 507.8 , 697.0
71000 , 629.8 , 2661.0
72000 , 455.55 , 927.0
73000 , 502.2 , 920.0
74000 , 520.45 , 948.0
75000 , 576.45 , 753.0
76000 , 478.5 , 764.0
77000 , 605.025 , 1258.0
78000 , 471.9 , 1274.0
79000 , 477.65 , 697.0
80000 , 542.9 , 1290.0
81000 , 528.15 , 935.0
82000 , 587.35 , 984.0
83000 , 447.15 , 742.0
84000 , 578.5 , 1069.0
85000 , 422.6 , 759.0
86000 , 519.35 , 987.0
87000 , 468.05 , 753.0
88000 , 502.1 , 1009.0
89000 , 494.6 , 695.0
90000 , 452.15 , 704.0
91000 , 524.55 , 950.0
92000 , 488.8 , 1228.0
93000 , 482.2 , 952.0
94000 , 496.0 , 812.0
95000 , 532.9 , 1230.0
96000 , 551.95 , 787.0
97000 , 604.4 , 1275.0
98000 , 663.1 , 1485.0
99000 , 636.8 , 1258.0
100000 , 552.55 , 1251.0
101000 , 615.45 , 1203.0
102000 , 607.7 , 1283.0
103000 , 620.95 , 954.0
104000 , 561.05 , 1004.0
105000 , 556.95 , 950.0
106000 , 701.35 , 1801.0
107000 , 560.3 , 1289.0
108000 , 567.75 , 1618.0
109000 , 734.6 , 1606.0
110000 , 526.6 , 1230.0
111000 , 658.3 , 1262.0
112000 , 691.3 , 1631.0
113000 , 653.35 , 994.0
114000 , 648.2 , 1468.0
115000 , 682.3 , 1467.0
116000 , 646.9 , 1209.0
117000 , 658.65 , 1241.0
118000 , 526.55 , 1002.0
119000 , 625.0 , 939.0
