timesteps,reward,best_reward
1000 , 209.9 , 378.0
2000 , 360.25 , 544.0
3000 , 424.15 , 678.0
4000 , 478.95 , 692.0
5000 , 464.65 , 745.0
6000 , 562.55 , 929.0
7000 , 444.15 , 692.0
8000 , 501.0 , 699.0
9000 , 531.25 , 692.0
10000 , 465.8 , 939.0
11000 , 447.95 , 1230.0
12000 , 430.95 , 729.0
13000 , 390.2 , 692.0
14000 , 436.7 , 1061.0
15000 , 448.15 , 692.0
16000 , 495.2 , 1070.0
17000 , 412.8 , 692.0
18000 , 426.1 , 693.0
19000 , 490.45 , 815.0
20000 , 485.7 , 773.0
21000 , 548.5 , 1008.0
22000 , 511.65 , 1022.0
23000 , 573.85 , 1253.0
24000 , 553.85 , 1486.0
25000 , 643.6 , 972.0
26000 , 609.55 , 1211.0
27000 , 617.0 , 1282.0
28000 , 518.65 , 1041.0
29000 , 482.45 , 692.0
30000 , 569.5 , 1268.0
31000 , 561.7 , 1237.0
32000 , 515.7 , 726.0
33000 , 552.4 , 977.0
34000 , 539.05 , 715.0
35000 , 534.55 , 1001.0
36000 , 510.2 , 807.0
37000 , 496.45 , 945.0
38000 , 570.65 , 984.0
39000 , 532.6 , 920.0
40000 , 558.15 , 1592.0
41000 , 511.7 , 1205.0
42000 , 521.65 , 1028.0
43000 , 468.8 , 703.0
44000 , 567.1 , 794.0
45000 , 507.35 , 1295.0
46000 , 499.45 , 692.0
47000 , 498.2 , 692.0
48000 , 527.7 , 958.0
49000 , 455.45 , 963.0
50000 , 439.85 , 903.0
51000 , 444.3 , 743.0
52000 , 498.65 , 745.0
53000 , 467.3 , 739.0
54000 , 430.1 , 692.0
55000 , 495.75 , 692.0
56000 , 516.0 , 697.0
57000 , 506.75 , 766.0
58000 , 488.1 , 979.0
59000 , 486.05 , 741.0
60000 , 483.75 , 692.0
61000 , 423.05 , 695.0
62000 , 477.15 , 674.0
63000 , 431.4 , 577.0
64000 , 445.25 , 645.0
65000 , 365.4 , 600.0
66000 , 423.0 , 585.0
67000 , 453.8 , 692.0
68000 , 449.0 , 756.0
69000 , 514.85 , 706.0
70000 , 390.25 , 623.0
71000 , 352.7 , 633.0
72000 , 431.75 , 688.0
73000 , 440.9 , 924.0
74000 , 437.7 , 757.0
75000 , 361.65 , 617.0
76000 , 399.2 , 684.0
77000 , 421.9 , 644.0
78000 , 492.45 , 736.0
79000 , 423.55 , 606.0
80000 , 436.2 , 692.0
81000 , 412.0 , 752.0
82000 , 416.0 , 692.0
83000 , 423.8 , 592.0
84000 , 450.2 , 624.0
85000 , 445.95 , 695.0
86000 , 424.75 , 691.0
87000 , 446.4 , 697.0
88000 , 492.65 , 692.0
89000 , 469.3 , 692.0
90000 , 455.3 , 776.0
91000 , 411.55 , 631.0
92000 , 478.35 , 691.0
93000 , 387.9 , 618.0
94000 , 429.45 , 628.0
95000 , 475.0 , 616.0
96000 , 389.35 , 552.0
97000 , 423.2 , 659.0
98000 , 444.8 , 587.0
99000 , 436.3 , 955.0
100000 , 410.2 , 691.0
101000 , 497.5 , 649.0
102000 , 459.2 , 712.0
103000 , 467.05 , 754.0
104000 , 440.2 , 721.0
105000 , 421.85 , 694.0
106000 , 521.15 , 995.0
107000 , 470.15 , 711.0
108000 , 472.75 , 692.0
109000 , 433.4 , 720.0
110000 , 394.0 , 571.0
111000 , 439.85 , 721.0
112000 , 387.95 , 687.0
113000 , 495.9 , 761.0
114000 , 450.4 , 721.0
115000 , 443.6 , 985.0
116000 , 411.25 , 937.0
117000 , 490.55 , 1019.0
118000 , 504.3 , 955.0
119000 , 437.1 , 747.0
120000 , 423.1 , 692.0
121000 , 498.95 , 774.0
122000 , 476.15 , 694.0
123000 , 430.85 , 692.0
124000 , 474.8 , 1212.0
125000 , 486.45 , 691.0
126000 , 421.05 , 643.0
127000 , 470.55 , 687.0
128000 , 476.45 , 1265.0
129000 , 482.4 , 691.0
130000 , 490.8 , 906.0
131000 , 540.25 , 940.0
132000 , 469.7 , 946.0
133000 , 502.6 , 798.0
134000 , 459.05 , 690.0
135000 , 452.7 , 762.0
136000 , 512.25 , 783.0
137000 , 524.85 , 1200.0
138000 , 477.55 , 697.0
139000 , 495.75 , 695.0
140000 , 515.25 , 917.0
141000 , 566.05 , 1136.0
142000 , 522.35 , 1270.0
143000 , 482.45 , 952.0
144000 , 588.5 , 1008.0
145000 , 500.7 , 692.0
146000 , 552.8 , 931.0
147000 , 553.15 , 957.0
148000 , 481.4 , 940.0
149000 , 583.7 , 1223.0
150000 , 503.7 , 919.0
151000 , 590.95 , 1035.0
152000 , 585.35 , 1055.0
153000 , 544.1 , 1038.0
154000 , 525.6 , 1229.0
155000 , 506.15 , 775.0
156000 , 611.35 , 1337.0
157000 , 619.35 , 925.0
158000 , 475.0 , 692.0
159000 , 485.85 , 1117.0
160000 , 513.3 , 989.0
161000 , 569.85 , 1209.0
162000 , 617.7 , 909.0
163000 , 544.2 , 987.0
164000 , 624.75 , 1265.0
165000 , 616.65 , 1226.0
166000 , 561.75 , 776.0
167000 , 535.25 , 836.0
168000 , 549.85 , 1012.0
169000 , 552.15 , 1253.0
170000 , 555.8 , 984.0
171000 , 662.0 , 1234.0
172000 , 620.55 , 1024.0
173000 , 598.75 , 1420.0
174000 , 689.0 , 1317.0
175000 , 554.75 , 1235.0
176000 , 632.85 , 1040.0
177000 , 632.15 , 1267.0
178000 , 554.5 , 795.0
179000 , 679.25 , 1276.0
180000 , 546.4 , 928.0
181000 , 551.55 , 1218.0
182000 , 633.3 , 1209.0
183000 , 628.65 , 1262.0
184000 , 528.8 , 950.0
185000 , 648.15 , 1256.0
186000 , 659.5 , 1478.0
187000 , 613.8 , 1000.0
188000 , 667.6 , 1477.0
189000 , 667.25 , 1255.0
190000 , 733.35 , 1227.0
191000 , 561.3 , 1017.0
192000 , 684.15 , 2030.0
193000 , 582.75 , 960.0
194000 , 652.95 , 1262.0
195000 , 794.0 , 1326.0
196000 , 571.7 , 987.0
197000 , 668.8 , 1454.0
198000 , 642.35 , 1273.0
199000 , 553.25 , 905.0
200000 , 555.15 , 1262.0
201000 , 509.55 , 1210.0
202000 , 449.7 , 1096.0
203000 , 658.5 , 1193.0
204000 , 549.5 , 1462.0
205000 , 571.35 , 1294.0
206000 , 615.25 , 1492.0
207000 , 568.25 , 1328.0
208000 , 660.15 , 1615.0
209000 , 628.05 , 1267.0
210000 , 652.2 , 1322.0
211000 , 643.3 , 1320.0
212000 , 659.05 , 1308.0
213000 , 590.05 , 966.0
214000 , 612.85 , 1234.0
215000 , 561.55 , 1047.0
216000 , 650.7 , 1607.0
217000 , 658.45 , 1565.0
218000 , 639.5 , 1803.0
219000 , 751.95 , 2245.0
220000 , 611.9 , 1319.0
221000 , 720.65 , 1360.0
222000 , 607.85 , 1196.0
223000 , 598.0 , 1325.0
224000 , 556.8 , 983.0
225000 , 559.75 , 843.0
226000 , 628.05 , 1075.0
227000 , 550.25 , 1203.0
228000 , 666.2 , 1467.0
229000 , 547.95 , 1257.0
230000 , 660.8 , 1864.0
231000 , 651.45 , 1380.0
232000 , 616.5 , 1226.0
233000 , 575.05 , 1013.0
234000 , 602.45 , 1301.0
235000 , 642.9 , 1289.0
236000 , 527.05 , 1214.0
237000 , 575.9 , 1226.0
238000 , 561.2 , 1202.0
239000 , 551.55 , 1279.0
240000 , 514.15 , 997.0
241000 , 572.8 , 1055.0
242000 , 608.1 , 1012.0
243000 , 588.55 , 1205.0
244000 , 690.3 , 1437.0
245000 , 546.55 , 991.0
246000 , 459.25 , 984.0
247000 , 650.35 , 1270.0
248000 , 612.75 , 1257.0
249000 , 593.35 , 1338.0
250000 , 545.9 , 1210.0
251000 , 555.1 , 1303.0
252000 , 621.25 , 1333.0
253000 , 559.65 , 1081.0
254000 , 575.3 , 988.0
255000 , 582.25 , 1237.0
256000 , 503.7 , 1015.0
257000 , 742.3 , 1323.0
258000 , 555.9 , 1262.0
259000 , 609.05 , 1321.0
260000 , 538.15 , 956.0
261000 , 516.9 , 1239.0
262000 , 558.05 , 1251.0
263000 , 595.5 , 980.0
264000 , 536.8 , 1304.0
265000 , 557.2 , 906.0
266000 , 609.8 , 1231.0
267000 , 611.6 , 1196.0
268000 , 579.25 , 1352.0
269000 , 499.35 , 964.0
270000 , 581.0 , 1010.0
271000 , 513.0 , 916.0
272000 , 582.3 , 1186.0
273000 , 564.35 , 1276.0
274000 , 592.4 , 1306.0
275000 , 595.5 , 1280.0
276000 , 587.4 , 1020.0
277000 , 540.15 , 978.0
278000 , 494.8 , 1281.0
279000 , 717.05 , 1599.0
280000 , 548.6 , 1222.0
281000 , 586.2 , 939.0
282000 , 530.95 , 1256.0
283000 , 641.7 , 1218.0
284000 , 570.65 , 984.0
285000 , 552.8 , 1084.0
286000 , 443.15 , 778.0
