timesteps,reward,best_reward
1000 , 150.9 , 498.0
2000 , 255.825 , 483.0
3000 , 266.2 , 536.0
4000 , 341.575 , 530.0
5000 , 407.45 , 698.0
6000 , 350.5 , 530.0
7000 , 430.7 , 687.0
8000 , 421.65 , 695.5
9000 , 385.7 , 725.0
10000 , 438.35 , 703.0
11000 , 397.1 , 743.0
12000 , 447.75 , 717.0
13000 , 412.7 , 590.0
14000 , 464.45 , 930.0
15000 , 481.5 , 1611.0
16000 , 397.45 , 916.0
17000 , 480.6 , 921.0
18000 , 490.85 , 696.0
19000 , 485.4 , 774.0
20000 , 453.35 , 721.0
21000 , 399.85 , 746.0
22000 , 384.025 , 720.0
23000 , 523.6 , 920.0
24000 , 565.3 , 1312.0
25000 , 570.4 , 943.0
26000 , 525.5 , 1005.0
27000 , 546.25 , 1258.0
28000 , 561.5 , 1239.0
29000 , 450.4 , 1265.0
30000 , 543.875 , 717.0
31000 , 479.55 , 726.0
32000 , 520.15 , 953.0
33000 , 490.15 , 729.0
34000 , 538.1 , 755.0
35000 , 558.6 , 1249.0
36000 , 548.9 , 950.0
37000 , 611.8 , 1208.0
38000 , 499.2 , 742.0
39000 , 539.9 , 950.0
40000 , 483.15 , 994.0
41000 , 451.0 , 694.0
42000 , 460.0 , 952.0
43000 , 578.3 , 1239.0
44000 , 472.4 , 1013.0
45000 , 542.5 , 950.0
46000 , 558.65 , 2025.0
47000 , 497.85 , 952.0
48000 , 552.35 , 722.0
49000 , 689.25 , 1966.0
50000 , 554.15 , 1258.0
51000 , 548.65 , 902.0
52000 , 475.1 , 698.0
53000 , 420.9 , 768.0
54000 , 533.15 , 1197.0
55000 , 588.8 , 986.0
56000 , 540.85 , 1010.0
57000 , 583.1 , 1326.0
58000 , 569.6 , 978.0
59000 , 556.55 , 1268.0
60000 , 519.8 , 1057.0
61000 , 474.2 , 887.0
62000 , 428.8 , 751.0
63000 , 559.6 , 1034.0
64000 , 525.75 , 754.0
65000 , 565.8 , 1249.0
66000 , 502.9 , 1511.0
67000 , 492.15 , 751.0
68000 , 534.7 , 909.0
69000 , 435.2 , 721.0
70000 , 552.05 , 953.0
71000 , 602.3 , 1230.0
72000 , 619.05 , 1249.0
73000 , 555.2 , 1232.0
74000 , 578.05 , 993.0
75000 , 558.65 , 986.0
76000 , 635.35 , 1260.0
77000 , 595.55 , 1263.0
78000 , 682.3 , 1590.0
79000 , 556.7 , 1265.0
80000 , 621.2 , 1490.0
81000 , 626.95 , 1261.0
82000 , 587.7 , 1228.0
83000 , 576.05 , 1004.0
84000 , 503.85 , 937.0
85000 , 631.7 , 1325.0
86000 , 565.05 , 1266.0
87000 , 599.35 , 1234.0
88000 , 600.7 , 1258.0
89000 , 613.9 , 2039.0
90000 , 499.55 , 1220.0
91000 , 532.7 , 743.0
92000 , 585.9 , 986.0
93000 , 602.4 , 1227.0
94000 , 592.15 , 904.0
95000 , 528.35 , 1132.0
96000 , 650.3 , 1663.0
97000 , 633.0 , 1024.0
98000 , 609.35 , 1673.0
99000 , 430.9 , 960.0
100000 , 565.35 , 1360.0
101000 , 667.0 , 1278.0
102000 , 579.0 , 1218.0
103000 , 549.5 , 1344.0
104000 , 636.35 , 1276.0
105000 , 615.3 , 1549.0
106000 , 554.15 , 933.0
107000 , 660.7 , 1260.0
108000 , 438.75 , 697.0
109000 , 635.0 , 1237.0
110000 , 604.95 , 1481.0
111000 , 518.6 , 1257.0
112000 , 521.9 , 1182.0
113000 , 564.45 , 949.0
114000 , 687.25 , 2026.0
115000 , 717.2 , 1282.0
116000 , 681.35 , 1275.0
117000 , 541.25 , 937.0
118000 , 552.45 , 809.0
119000 , 658.3 , 1853.0
120000 , 581.0 , 1294.0
121000 , 593.15 , 1336.0
122000 , 598.1 , 1680.0
123000 , 636.1 , 971.0
124000 , 631.05 , 1785.0
125000 , 678.8 , 1267.0
126000 , 633.95 , 1023.0
127000 , 628.65 , 1473.0
128000 , 569.55 , 1008.0
129000 , 731.45 , 1485.0
130000 , 602.75 , 933.0
131000 , 717.85 , 1266.0
132000 , 590.45 , 1082.0
133000 , 576.2 , 1313.0
134000 , 607.65 , 946.0
135000 , 588.1 , 934.0
136000 , 534.75 , 1282.0
137000 , 730.2 , 1339.0
138000 , 666.6 , 1387.0
139000 , 763.95 , 1839.0
140000 , 578.6 , 967.0
141000 , 671.7 , 2030.0
142000 , 636.0 , 1230.0
143000 , 677.1 , 1280.0
144000 , 623.4 , 1341.0
145000 , 654.45 , 1330.0
146000 , 644.0 , 1870.0
147000 , 577.95 , 1349.0
148000 , 600.65 , 1301.0
149000 , 625.3 , 1196.0
150000 , 635.0 , 1311.0
151000 , 613.0 , 966.0
152000 , 659.7 , 1403.0
153000 , 650.7 , 1707.0
154000 , 705.15 , 1239.0
155000 , 734.675 , 1244.0
156000 , 689.45 , 2335.0
157000 , 676.95 , 1871.0
158000 , 724.45 , 1361.0
159000 , 592.3 , 1022.0
160000 , 671.05 , 1798.0
161000 , 704.9 , 1315.0
162000 , 705.6 , 1285.0
163000 , 785.2 , 1616.0
164000 , 589.7 , 941.0
165000 , 634.8 , 1170.0
166000 , 646.8 , 1591.0
167000 , 589.35 , 1607.0
168000 , 592.1 , 1004.0
169000 , 724.75 , 1290.0
170000 , 618.9 , 1233.0
171000 , 644.05 , 1228.0
172000 , 593.05 , 1362.0
173000 , 687.85 , 1326.0
174000 , 534.75 , 1275.0
175000 , 738.25 , 1302.0
176000 , 710.4 , 1418.0
177000 , 800.9 , 1494.0
178000 , 733.6 , 1311.0
179000 , 748.15 , 1288.0
180000 , 667.55 , 1253.0
181000 , 728.05 , 1336.0
182000 , 706.65 , 1874.0
183000 , 776.6 , 2027.0
184000 , 864.6 , 1403.0
185000 , 651.65 , 1259.0
186000 , 823.45 , 2023.0
187000 , 713.15 , 1561.0
188000 , 583.95 , 996.0
189000 , 548.0 , 980.0
190000 , 693.05 , 1454.0
191000 , 646.9 , 1321.0
192000 , 788.8 , 1618.0
193000 , 526.75 , 1075.0
194000 , 695.05 , 1536.0
195000 , 853.45 , 1886.0
196000 , 743.5 , 2023.0
197000 , 714.65 , 1807.0
198000 , 732.9 , 1384.0
199000 , 832.55 , 1398.0
200000 , 765.1 , 1291.0
201000 , 556.9 , 1048.0
202000 , 658.9 , 1308.0
203000 , 694.6 , 1312.0
204000 , 850.3 , 2996.0
205000 , 727.65 , 1808.0
206000 , 694.95 , 1190.0
207000 , 682.8 , 1257.0
208000 , 669.1 , 1268.0
209000 , 798.9 , 2016.0
210000 , 675.1 , 1206.0
211000 , 496.6 , 959.0
212000 , 585.05 , 1362.0
213000 , 707.05 , 1655.0
214000 , 610.25 , 1302.0
215000 , 668.85 , 1350.0
216000 , 652.15 , 1305.0
217000 , 593.25 , 1337.0
218000 , 820.1 , 1563.0
219000 , 836.65 , 1463.0
220000 , 665.45 , 1255.0
221000 , 774.8 , 1399.0
222000 , 770.3 , 1281.0
223000 , 736.75 , 1455.0
224000 , 635.55 , 1477.0
225000 , 773.95 , 1328.0
226000 , 904.9 , 1871.0
227000 , 570.9 , 1599.0
228000 , 684.7 , 1303.0
229000 , 757.6 , 1330.0
230000 , 645.45 , 1283.0
231000 , 763.25 , 1345.0
232000 , 685.55 , 1275.0
233000 , 574.15 , 1278.0
234000 , 766.35 , 2588.0
235000 , 790.7 , 2338.0
236000 , 764.15 , 1321.0
237000 , 789.85 , 1274.0
238000 , 592.2 , 1319.0
239000 , 687.9 , 1298.0
240000 , 715.25 , 1752.0
241000 , 690.4 , 1529.0
242000 , 645.45 , 1323.0
243000 , 537.9 , 1023.0
244000 , 692.45 , 1557.0
245000 , 755.35 , 1650.0
246000 , 713.6 , 1321.0
247000 , 669.65 , 1380.0
248000 , 696.45 , 2198.0
249000 , 720.95 , 1317.0
250000 , 777.25 , 2349.0
251000 , 684.95 , 1360.0
252000 , 806.65 , 1889.0
253000 , 814.65 , 1337.0
254000 , 857.45 , 2593.0
255000 , 884.1 , 1859.0
256000 , 748.35 , 1871.0
257000 , 719.75 , 1418.0
258000 , 561.2 , 1291.0
259000 , 658.75 , 1844.0
260000 , 763.05 , 1819.0
261000 , 721.0 , 1315.0
262000 , 751.5 , 1669.0
263000 , 762.45 , 1750.0
264000 , 622.85 , 1344.0
265000 , 690.55 , 1624.0
266000 , 689.2 , 2254.0
267000 , 752.0 , 1381.0
268000 , 713.35 , 1309.0
269000 , 594.65 , 1540.0
270000 , 806.35 , 1849.0
271000 , 788.0 , 1333.0
272000 , 594.45 , 1316.0
273000 , 842.4 , 1802.0
274000 , 744.7 , 1291.0
275000 , 696.45 , 1388.0
276000 , 714.75 , 1318.0
277000 , 649.5 , 1337.0
278000 , 787.45 , 1325.0
279000 , 633.95 , 1262.0
280000 , 852.35 , 1911.0
281000 , 746.55 , 1671.0
282000 , 557.45 , 1302.0
283000 , 817.05 , 1511.0
284000 , 765.3 , 1653.0
285000 , 568.0 , 1324.0
286000 , 655.5 , 1546.0
287000 , 809.7 , 2289.0
288000 , 732.05 , 1671.0
289000 , 784.7 , 1304.0
290000 , 654.95 , 1186.0
291000 , 707.5 , 1341.0
292000 , 751.4 , 1405.0
293000 , 668.55 , 1331.0
294000 , 712.4 , 2611.0
295000 , 581.1 , 1336.0
296000 , 626.05 , 2348.0
297000 , 666.85 , 1484.0
298000 , 871.35 , 2326.0
299000 , 829.7 , 3009.0
300000 , 739.1 , 1299.0
301000 , 683.3 , 1340.0
302000 , 718.4 , 1917.0
303000 , 735.3 , 1307.0
304000 , 979.8 , 2625.0
305000 , 832.55 , 1652.0
306000 , 730.95 , 1328.0
307000 , 604.3 , 1420.0
308000 , 744.15 , 1661.0
309000 , 871.35 , 1602.0
310000 , 920.6 , 2342.0
311000 , 649.85 , 1550.0
312000 , 826.0 , 1538.0
313000 , 870.0 , 2343.0
314000 , 687.75 , 1754.0
315000 , 658.0 , 1525.0
316000 , 851.35 , 1560.0
317000 , 794.3 , 1408.0
318000 , 647.8 , 1517.0
319000 , 843.25 , 3005.0
320000 , 927.2 , 1693.0
321000 , 680.85 , 1317.0
322000 , 882.4 , 2562.0
323000 , 758.8 , 1666.0
324000 , 842.65 , 3003.0
325000 , 703.85 , 1909.0
326000 , 790.0 , 2306.0
327000 , 811.65 , 1545.0
328000 , 567.8 , 1299.0
329000 , 764.2 , 1346.0
330000 , 929.9 , 2603.0
331000 , 764.1 , 1414.0
332000 , 737.9 , 1507.0
333000 , 808.2 , 1909.0
334000 , 779.35 , 1369.0
335000 , 803.95 , 1676.0
336000 , 701.4 , 1551.0
337000 , 704.15 , 1420.0
338000 , 777.7 , 1868.0
339000 , 758.75 , 1523.0
340000 , 711.45 , 1319.0
341000 , 705.6 , 1318.0
342000 , 789.9 , 1321.0
343000 , 753.9 , 1383.0
344000 , 706.05 , 1508.0
345000 , 680.5 , 1330.0
346000 , 751.45 , 1408.0
347000 , 779.95 , 1379.0
348000 , 871.25 , 2281.0
349000 , 882.4 , 1892.0
350000 , 815.5 , 1550.0
351000 , 853.7 , 2618.0
352000 , 591.25 , 1288.0
353000 , 787.75 , 1350.0
354000 , 957.3 , 2970.0
355000 , 920.25 , 1392.0
356000 , 713.4 , 1520.0
357000 , 866.15 , 1831.0
358000 , 732.05 , 1338.0
359000 , 748.55 , 2348.0
360000 , 700.85 , 1349.0
361000 , 666.2 , 1338.0
362000 , 767.65 , 1914.0
363000 , 767.45 , 1339.0
364000 , 869.5 , 1688.0
365000 , 703.8 , 1924.0
366000 , 821.15 , 2333.0
367000 , 899.85 , 1395.0
368000 , 623.25 , 1639.0
369000 , 614.85 , 1270.0
370000 , 810.95 , 1286.0
371000 , 671.3 , 1532.0
372000 , 780.6 , 1425.0
373000 , 657.45 , 1421.0
374000 , 707.1 , 1416.0
375000 , 849.85 , 1575.0
376000 , 713.8 , 1332.0
377000 , 587.75 , 1338.0
378000 , 706.45 , 1392.0
379000 , 774.15 , 1566.0
380000 , 749.5 , 1677.0
381000 , 637.85 , 1159.0
382000 , 921.1 , 1885.0
383000 , 723.45 , 1416.0
384000 , 734.2 , 1510.0
385000 , 651.75 , 1339.0
386000 , 678.85 , 1431.0
387000 , 778.05 , 1686.0
388000 , 755.05 , 1340.0
389000 , 924.55 , 3045.0
390000 , 703.65 , 1547.0
391000 , 662.4 , 1099.0
392000 , 736.95 , 1395.0
393000 , 662.45 , 1295.0
394000 , 829.35 , 1336.0
395000 , 833.6 , 2598.0
396000 , 800.2 , 2321.0
397000 , 888.35 , 1414.0
398000 , 678.65 , 1328.0
399000 , 733.7 , 1532.0
400000 , 882.15 , 1322.0
401000 , 764.85 , 1682.0
402000 , 694.15 , 1326.0
403000 , 690.05 , 1316.0
404000 , 767.65 , 2303.0
405000 , 876.85 , 1908.0
406000 , 695.0 , 1883.0
407000 , 820.55 , 2314.0
408000 , 691.1 , 1310.0
409000 , 935.5 , 2328.0
410000 , 816.35 , 1546.0
411000 , 662.15 , 1318.0
412000 , 776.15 , 1397.0
413000 , 714.6 , 1691.0
414000 , 741.9 , 1687.0
415000 , 774.2 , 1861.0
416000 , 822.15 , 1420.0
417000 , 688.55 , 1426.0
418000 , 635.45 , 1322.0
419000 , 753.2 , 1556.0
420000 , 717.1 , 1421.0
421000 , 757.6 , 1577.0
422000 , 773.35 , 1564.0
423000 , 891.8 , 2991.0
424000 , 702.4 , 1658.0
425000 , 745.05 , 1876.0
426000 , 671.6 , 1416.0
427000 , 859.45 , 2611.0
428000 , 656.15 , 1576.0
429000 , 719.35 , 1811.0
430000 , 972.75 , 2324.0
431000 , 673.9 , 1411.0
432000 , 739.3 , 1528.0
433000 , 753.65 , 1566.0
434000 , 812.3 , 1660.0
435000 , 909.55 , 1884.0
436000 , 596.65 , 1330.0
437000 , 928.85 , 1928.0
438000 , 686.25 , 1405.0
439000 , 775.3 , 1545.0
440000 , 599.4 , 1572.0
441000 , 895.2 , 3014.0
442000 , 678.95 , 1325.0
443000 , 705.45 , 1344.0
444000 , 696.75 , 1419.0
445000 , 671.4 , 1344.0
446000 , 868.2 , 1419.0
447000 , 726.8 , 1702.0
448000 , 574.05 , 1345.0
449000 , 742.55 , 1883.0
450000 , 895.25 , 1906.0
451000 , 869.9 , 1847.0
452000 , 830.9 , 1674.0
453000 , 807.55 , 1589.0
454000 , 566.35 , 1332.0
455000 , 883.2 , 2614.0
456000 , 836.7 , 1530.0
457000 , 691.4 , 1667.0
458000 , 771.45 , 1843.0
459000 , 653.6 , 1579.0
460000 , 819.05 , 1685.0
461000 , 590.95 , 1286.0
462000 , 891.95 , 1689.0
463000 , 731.85 , 1869.0
464000 , 804.5 , 1689.0
465000 , 848.75 , 1679.0
466000 , 714.45 , 1292.0
467000 , 950.85 , 1896.0
468000 , 748.6 , 1693.0
469000 , 793.7 , 1691.0
470000 , 708.5 , 3045.0
471000 , 740.05 , 1541.0
472000 , 780.55 , 1896.0
473000 , 839.9 , 2583.0
474000 , 946.95 , 2988.0
475000 , 646.05 , 1325.0
476000 , 766.1 , 2342.0
477000 , 756.2 , 1555.0
478000 , 642.05 , 1332.0
479000 , 683.2 , 1410.0
480000 , 1003.6 , 2325.0
481000 , 845.3 , 2357.0
482000 , 800.2 , 1912.0
483000 , 754.05 , 1332.0
484000 , 828.75 , 2348.0
485000 , 930.8 , 1848.0
486000 , 703.0 , 1427.0
487000 , 680.9 , 1692.0
488000 , 767.7 , 1906.0
489000 , 705.85 , 2353.0
490000 , 694.7 , 1347.0
491000 , 680.4 , 1684.0
492000 , 701.15 , 1580.0
493000 , 829.75 , 1579.0
494000 , 692.0 , 1432.0
495000 , 687.1 , 1689.0
496000 , 681.95 , 2627.0
497000 , 769.25 , 1684.0
498000 , 828.45 , 1425.0
499000 , 859.95 , 3012.0
500000 , 766.9 , 1906.0
501000 , 749.65 , 1397.0
502000 , 720.6 , 2622.0
503000 , 697.3 , 1337.0
504000 , 817.85 , 1901.0
505000 , 737.8 , 1549.0
506000 , 839.05 , 2347.0
507000 , 724.35 , 1335.0
508000 , 856.25 , 1843.0
509000 , 619.85 , 1341.0
510000 , 800.6 , 1310.0
511000 , 827.4 , 1691.0
512000 , 904.1 , 3037.0
513000 , 928.2 , 2623.0
514000 , 926.3 , 1691.0
515000 , 843.6 , 1686.0
516000 , 899.55 , 1684.0
517000 , 744.95 , 1575.0
518000 , 812.5 , 1666.0
519000 , 737.4 , 2361.0
520000 , 773.7 , 1688.0
521000 , 527.35 , 1415.0
522000 , 682.0 , 1547.0
523000 , 666.6 , 1401.0
524000 , 834.15 , 2313.0
525000 , 689.8 , 1410.0
526000 , 607.6 , 1686.0
527000 , 783.2 , 1431.0
528000 , 711.45 , 1341.0
529000 , 769.25 , 2328.0
530000 , 823.35 , 2589.0
531000 , 767.0 , 1405.0
532000 , 814.6 , 1564.0
533000 , 627.1 , 1435.0
534000 , 581.8 , 1335.0
535000 , 1004.05 , 2328.0
536000 , 595.15 , 1346.0
537000 , 707.6 , 1564.0
538000 , 766.15 , 1907.0
539000 , 738.5 , 1903.0
540000 , 791.5 , 1680.0
541000 , 788.95 , 1560.0
542000 , 806.15 , 1674.0
543000 , 679.95 , 1344.0
544000 , 787.4 , 1433.0
545000 , 772.25 , 1694.0
546000 , 713.2 , 1846.0
547000 , 803.4 , 1564.0
548000 , 805.85 , 1567.0
549000 , 644.2 , 1408.0
550000 , 857.6 , 2992.0
551000 , 963.15 , 3036.0
552000 , 696.1 , 1409.0
553000 , 829.5 , 1326.0
554000 , 592.4 , 1324.0
555000 , 677.0 , 1402.0
556000 , 726.95 , 1149.0
557000 , 632.4 , 1057.0
558000 , 702.5 , 1313.0
559000 , 907.6 , 1805.0
560000 , 830.05 , 1401.0
561000 , 772.85 , 2630.0
562000 , 711.6 , 1429.0
563000 , 786.15 , 1340.0
564000 , 786.25 , 1701.0
565000 , 730.95 , 2341.0
566000 , 674.15 , 1677.0
567000 , 852.2 , 1346.0
568000 , 777.1 , 2603.0
569000 , 767.05 , 1569.0
570000 , 782.05 , 2635.0
571000 , 842.9 , 2633.0
572000 , 839.3 , 1908.0
573000 , 747.75 , 1572.0
574000 , 686.35 , 1342.0
575000 , 605.95 , 1342.0
576000 , 836.05 , 1913.0
577000 , 792.55 , 3033.0
578000 , 604.5 , 1143.0
579000 , 514.5 , 1039.0
580000 , 603.3 , 1704.0
581000 , 711.85 , 1350.0
582000 , 658.15 , 1353.0
583000 , 626.05 , 2325.0
584000 , 827.75 , 1927.0
585000 , 670.2 , 1411.0
586000 , 783.75 , 2342.0
587000 , 714.2 , 1351.0
588000 , 635.15 , 1159.0
589000 , 619.6 , 1418.0
590000 , 621.55 , 1909.0
591000 , 667.55 , 1725.0
592000 , 688.65 , 1345.0
593000 , 913.2 , 3039.0
594000 , 731.1 , 1852.0
595000 , 693.85 , 1691.0
596000 , 665.3 , 1427.0
597000 , 636.4 , 1429.0
598000 , 589.35 , 1902.0
599000 , 602.05 , 1321.0
600000 , 586.55 , 1441.0
