timesteps,reward,best_reward
100000 , 170.525 , 385.5
200000 , 202.625 , 403.5
300000 , 303.45 , 513.0
400000 , 332.55 , 528.0
500000 , 310.95 , 517.0
600000 , 346.575 , 652.5
700000 , 376.05 , 709.0
800000 , 331.9 , 527.0
900000 , 449.95 , 734.0
1000000 , 518.975 , 1212.0
1100000 , 480.4 , 767.0
1200000 , 451.3 , 710.0
1300000 , 446.45 , 697.0
1400000 , 518.75 , 1237.0
1500000 , 606.1 , 1325.0
1600000 , 512.7 , 941.0
1700000 , 494.55 , 799.0
1800000 , 594.25 , 1484.0
1900000 , 519.65 , 1008.0
2000000 , 704.7 , 1548.0
2100000 , 900.1 , 2604.0
2200000 , 648.0 , 1548.0
2300000 , 729.35 , 2330.0
2400000 , 756.0 , 1844.0
2500000 , 809.95 , 1389.0
2600000 , 965.95 , 2328.0
2700000 , 904.6 , 1822.0
2800000 , 1156.5 , 2366.0
2900000 , 774.65 , 1355.0
3000000 , 1162.45 , 2350.0
3100000 , 823.85 , 2338.0
3200000 , 1014.05 , 3015.0
3300000 , 1431.0 , 3045.0
3400000 , 958.0 , 1868.0
3500000 , 1104.65 , 3030.0
3600000 , 1266.9 , 2640.0
3700000 , 1055.95 , 2338.0
3800000 , 1386.4 , 2992.0
3900000 , 1222.55 , 2637.0
4000000 , 1277.05 , 2358.0
4100000 , 1699.45 , 3006.0
4200000 , 1500.05 , 2367.0
4300000 , 932.75 , 1351.0
4400000 , 638.3 , 1360.0
4500000 , 1585.85 , 3032.0
4600000 , 1227.8 , 3052.0
4700000 , 1211.45 , 2656.0
4800000 , 1109.2 , 3034.0
4900000 , 1062.85 , 2653.0
5000000 , 1531.2 , 2631.0
