timesteps,reward,best_reward
100000 , 5.1 , 204.0
200000 , 199.95 , 389.0
300000 , 271.5 , 512.0
400000 , 350.95 , 675.0
500000 , 357.05 , 524.0
600000 , 385.2 , 543.0
700000 , 311.3 , 519.0
800000 , 371.6 , 677.0
900000 , 343.6 , 607.0
1000000 , 484.4 , 1216.0
1100000 , 514.85 , 942.0
1200000 , 531.35 , 1257.0
1300000 , 474.5 , 691.0
1400000 , 509.4 , 915.0
1500000 , 533.85 , 1393.0
1600000 , 542.45 , 927.0
1700000 , 517.35 , 711.0
1800000 , 487.05 , 1217.0
1900000 , 633.2 , 1324.0
2000000 , 865.75 , 2489.0
2100000 , 821.65 , 1269.0
2200000 , 671.2 , 1384.0
2300000 , 779.9 , 1874.0
2400000 , 739.25 , 1421.0
2500000 , 824.3 , 1907.0
2600000 , 867.3 , 1533.0
2700000 , 743.9 , 1872.0
2800000 , 1014.65 , 1915.0
2900000 , 892.1 , 2316.0
3000000 , 1084.6 , 1825.0
3100000 , 991.1 , 2625.0
3200000 , 805.4 , 1840.0
3300000 , 1141.65 , 2316.0
3400000 , 1224.85 , 2350.0
3500000 , 1348.85 , 3045.0
3600000 , 1347.15 , 2629.0
3700000 , 1279.45 , 3016.0
3800000 , 1253.05 , 2359.0
3900000 , 1424.65 , 2354.0
4000000 , 1401.65 , 2355.0
4100000 , 1387.7 , 2363.0
4200000 , 1379.45 , 3026.0
4300000 , 1437.35 , 2355.0
4400000 , 1845.15 , 3048.0
4500000 , 1688.3 , 3054.0
4600000 , 1067.9 , 2296.0
4700000 , 1768.95 , 3047.0
4800000 , 1645.45 , 2968.0
4900000 , 1625.5 , 2364.0
5000000 , 1495.5 , 3041.0
