timesteps,reward,best_reward
1000 , 598.1 , 1023.0
2000 , 602.45 , 1293.0
3000 , 648.8 , 1311.0
4000 , 630.15 , 1257.0
5000 , 637.9 , 1545.0
6000 , 473.0 , 779.0
7000 , 657.65 , 1283.0
8000 , 693.6 , 991.0
9000 , 575.95 , 1277.0
10000 , 562.45 , 983.0
11000 , 686.6 , 1313.0
12000 , 760.9 , 2314.0
13000 , 730.25 , 2995.0
14000 , 730.6 , 1337.0
15000 , 606.9 , 1374.0
16000 , 786.6 , 1314.0
17000 , 731.1 , 1606.0
18000 , 834.35 , 1893.0
19000 , 711.2 , 2443.0
20000 , 758.9 , 1320.0
21000 , 776.05 , 1667.0
22000 , 692.5 , 1408.0
23000 , 679.05 , 1138.0
24000 , 645.7 , 1638.0
25000 , 863.95 , 1426.0
26000 , 644.85 , 1695.0
27000 , 784.9 , 1544.0
28000 , 653.05 , 1317.0
29000 , 804.8 , 1903.0
30000 , 797.75 , 1386.0
31000 , 716.6 , 1694.0
32000 , 696.3 , 1381.0
33000 , 909.1 , 1574.0
34000 , 636.15 , 1550.0
35000 , 711.9 , 1336.0
36000 , 808.55 , 1925.0
37000 , 813.25 , 1575.0
38000 , 724.6 , 1421.0
39000 , 791.5 , 1341.0
40000 , 816.65 , 1430.0
41000 , 707.45 , 1903.0
42000 , 691.25 , 1404.0
43000 , 631.15 , 1389.0
44000 , 766.3 , 1673.0
45000 , 610.05 , 1337.0
46000 , 746.4 , 1346.0
47000 , 863.45 , 1678.0
48000 , 832.75 , 1671.0
49000 , 814.35 , 1678.0
50000 , 690.7 , 1343.0
51000 , 832.45 , 1922.0
52000 , 621.5 , 1414.0
53000 , 757.55 , 1425.0
54000 , 659.3 , 1565.0
55000 , 624.05 , 1413.0
56000 , 614.45 , 1360.0
57000 , 759.9 , 1574.0
58000 , 734.9 , 1559.0
59000 , 782.95 , 1347.0
60000 , 759.9 , 1913.0
61000 , 793.25 , 1341.0
62000 , 844.2 , 1848.0
63000 , 653.7 , 2614.0
64000 , 768.55 , 1692.0
65000 , 731.35 , 1432.0
66000 , 875.5 , 1914.0
67000 , 739.95 , 1689.0
68000 , 751.65 , 1151.0
69000 , 811.45 , 1427.0
70000 , 676.0 , 1547.0
71000 , 673.75 , 1426.0
72000 , 638.8 , 1857.0
73000 , 675.15 , 1689.0
74000 , 730.05 , 1576.0
75000 , 692.0 , 1691.0
76000 , 829.45 , 2621.0
77000 , 703.7 , 1346.0
78000 , 879.75 , 3041.0
79000 , 806.55 , 1913.0
80000 , 875.8 , 1553.0
81000 , 698.2 , 1574.0
82000 , 727.25 , 1433.0
83000 , 693.95 , 1344.0
84000 , 716.35 , 1394.0
85000 , 815.05 , 1802.0
86000 , 671.1 , 1577.0
87000 , 821.25 , 1685.0
88000 , 779.5 , 2344.0
89000 , 687.3 , 1301.0
90000 , 821.25 , 1582.0
91000 , 736.3 , 1901.0
92000 , 795.8 , 1559.0
93000 , 579.5 , 1342.0
94000 , 842.65 , 1668.0
95000 , 683.8 , 1569.0
96000 , 853.65 , 2311.0
97000 , 806.75 , 1547.0
98000 , 1061.95 , 2310.0
99000 , 767.45 , 1560.0
100000 , 787.35 , 1661.0
101000 , 788.75 , 2489.0
102000 , 837.8 , 1329.0
103000 , 795.6 , 2595.0
104000 , 721.5 , 1919.0
105000 , 811.8 , 2362.0
106000 , 660.9 , 1583.0
107000 , 680.85 , 1565.0
108000 , 742.8 , 1825.0
109000 , 795.3 , 1684.0
110000 , 854.75 , 2340.0
111000 , 643.4 , 1688.0
112000 , 610.15 , 1432.0
113000 , 770.0 , 1425.0
114000 , 830.35 , 1680.0
115000 , 566.55 , 1341.0
116000 , 714.8 , 1927.0
117000 , 648.4 , 1430.0
118000 , 627.15 , 1428.0
119000 , 729.1 , 2327.0
120000 , 702.5 , 1587.0
121000 , 642.25 , 1045.0
122000 , 554.25 , 1342.0
123000 , 704.35 , 2359.0
124000 , 611.85 , 1360.0
125000 , 644.85 , 1411.0
126000 , 677.45 , 1430.0
127000 , 768.75 , 1431.0
128000 , 630.55 , 1049.0
129000 , 814.6 , 1702.0
130000 , 799.95 , 1698.0
131000 , 667.55 , 1436.0
132000 , 838.25 , 1574.0
133000 , 816.35 , 1697.0
134000 , 740.25 , 1686.0
135000 , 500.55 , 1136.0
136000 , 534.7 , 1581.0
137000 , 815.6 , 1915.0
138000 , 618.45 , 1323.0
139000 , 675.35 , 1347.0
140000 , 1000.05 , 1918.0
141000 , 841.0 , 1856.0
142000 , 822.65 , 1922.0
143000 , 902.85 , 1852.0
144000 , 674.7 , 1433.0
145000 , 758.55 , 1420.0
146000 , 657.15 , 1544.0
147000 , 731.05 , 1437.0
148000 , 789.4 , 1340.0
149000 , 806.4 , 2629.0
150000 , 700.3 , 1575.0
151000 , 826.95 , 1903.0
152000 , 719.8 , 1682.0
153000 , 816.5 , 1417.0
154000 , 745.55 , 1419.0
155000 , 758.2 , 1699.0
156000 , 676.05 , 1579.0
157000 , 764.25 , 1576.0
158000 , 713.9 , 1578.0
159000 , 747.0 , 2342.0
160000 , 709.3 , 1914.0
161000 , 552.6 , 1333.0
162000 , 618.6 , 1706.0
163000 , 706.1 , 1344.0
164000 , 746.45 , 1422.0
165000 , 586.9 , 1066.0
166000 , 726.8 , 1432.0
167000 , 714.1 , 1347.0
168000 , 961.05 , 2993.0
169000 , 710.25 , 1436.0
170000 , 874.7 , 2332.0
171000 , 812.45 , 1586.0
172000 , 770.15 , 1434.0
173000 , 829.5 , 1348.0
174000 , 697.4 , 1427.0
175000 , 772.35 , 3025.0
176000 , 864.85 , 2348.0
177000 , 809.95 , 1918.0
178000 , 689.6 , 1707.0
179000 , 754.05 , 1578.0
180000 , 636.1 , 1340.0
181000 , 712.6 , 1433.0
182000 , 788.15 , 1409.0
183000 , 882.8 , 1428.0
184000 , 846.6 , 1922.0
185000 , 661.45 , 1331.0
186000 , 967.65 , 3040.0
187000 , 948.4 , 1702.0
188000 , 816.65 , 1685.0
189000 , 892.7 , 2351.0
190000 , 836.6 , 1436.0
191000 , 1015.6 , 3052.0
192000 , 745.1 , 1345.0
193000 , 822.0 , 1345.0
194000 , 738.4 , 1432.0
195000 , 734.8 , 2351.0
196000 , 899.0 , 1918.0
197000 , 901.15 , 1690.0
198000 , 684.0 , 1426.0
199000 , 825.45 , 1574.0
200000 , 758.4 , 1579.0
201000 , 888.05 , 1863.0
202000 , 851.4 , 1697.0
203000 , 875.35 , 2340.0
204000 , 788.7 , 1577.0
205000 , 814.65 , 3036.0
206000 , 997.75 , 1849.0
207000 , 851.3 , 1437.0
208000 , 939.1 , 2358.0
209000 , 754.4 , 1911.0
210000 , 935.85 , 1694.0
211000 , 730.45 , 1842.0
212000 , 927.1 , 1858.0
213000 , 692.8 , 1437.0
214000 , 1021.95 , 2637.0
215000 , 772.15 , 1702.0
216000 , 743.45 , 1921.0
217000 , 962.0 , 2371.0
218000 , 903.65 , 1696.0
219000 , 818.7 , 1581.0
220000 , 1077.25 , 1692.0
221000 , 803.25 , 1692.0
222000 , 881.3 , 1694.0
223000 , 797.75 , 1441.0
224000 , 924.6 , 1695.0
225000 , 831.7 , 1854.0
226000 , 835.65 , 1696.0
227000 , 982.35 , 1859.0
228000 , 816.25 , 3050.0
229000 , 770.45 , 1425.0
230000 , 754.35 , 1715.0
231000 , 902.1 , 1850.0
232000 , 537.6 , 1570.0
233000 , 686.9 , 1350.0
234000 , 881.65 , 1575.0
235000 , 879.35 , 1694.0
236000 , 895.9 , 1874.0
237000 , 777.5 , 1330.0
238000 , 974.7 , 1709.0
239000 , 863.8 , 1682.0
240000 , 894.8 , 1581.0
241000 , 844.2 , 1573.0
242000 , 813.0 , 3037.0
243000 , 784.3 , 1415.0
244000 , 755.25 , 1572.0
245000 , 865.5 , 1576.0
246000 , 949.4 , 1693.0
247000 , 786.05 , 1685.0
248000 , 821.1 , 1865.0
249000 , 879.65 , 1839.0
250000 , 1064.8 , 1857.0
251000 , 833.05 , 1689.0
252000 , 919.35 , 1689.0
253000 , 688.7 , 1587.0
254000 , 1007.3 , 2356.0
255000 , 785.2 , 1692.0
256000 , 822.05 , 1688.0
257000 , 1056.65 , 1706.0
258000 , 882.4 , 2339.0
259000 , 799.55 , 1686.0
260000 , 797.6 , 1581.0
261000 , 890.05 , 1694.0
262000 , 1113.65 , 3038.0
263000 , 934.95 , 1863.0
264000 , 959.3 , 1921.0
265000 , 1037.3 , 1859.0
266000 , 834.8 , 1686.0
267000 , 666.0 , 1686.0
268000 , 866.0 , 1923.0
269000 , 830.6 , 1925.0
270000 , 1189.3 , 3037.0
271000 , 1085.95 , 3036.0
272000 , 864.1 , 1702.0
273000 , 951.0 , 2364.0
274000 , 913.75 , 3050.0
275000 , 779.3 , 1569.0
276000 , 815.75 , 1438.0
277000 , 834.05 , 1921.0
278000 , 818.6 , 1691.0
279000 , 1086.55 , 2372.0
280000 , 822.75 , 1870.0
281000 , 786.1 , 1693.0
282000 , 932.95 , 1692.0
283000 , 745.35 , 1432.0
284000 , 808.35 , 1701.0
285000 , 791.7 , 1864.0
286000 , 817.6 , 1914.0
287000 , 955.35 , 1704.0
288000 , 925.8 , 1863.0
289000 , 911.2 , 2625.0
290000 , 916.95 , 1691.0
291000 , 868.55 , 1699.0
292000 , 952.7 , 1855.0
293000 , 918.2 , 2340.0
294000 , 951.05 , 2643.0
295000 , 909.0 , 2611.0
296000 , 831.45 , 1855.0
297000 , 1056.3 , 1928.0
298000 , 944.7 , 1849.0
299000 , 1002.55 , 1704.0
300000 , 927.5 , 1927.0
301000 , 843.3 , 1855.0
302000 , 831.2 , 1707.0
303000 , 1093.7 , 3009.0
304000 , 971.3 , 1863.0
305000 , 971.35 , 1708.0
306000 , 713.1 , 1339.0
